yaş;qx;px;lx;dx;ex
0;0,019533;0,980467;1000000,00;19533,00;74,32
1;0,000849;0,999151;980467,00;832,89;74,79
2;0,000757;0,999243;979634,11;741,36;73,85
3;0,000656;0,999344;978892,75;642,47;72,90
4;0,000559;0,999441;978250,28;546,97;71,95
5;0,000473;0,999527;977703,32;462,75;70,99
6;0,000389;0,999611;977240,57;379,88;70,03
7;0,000327;0,999673;976860,69;318,95;69,05
8;0,000283;0,999717;976541,74;276,41;68,08
9;0,000255;0,999745;976265,34;248,71;67,09
10;0,000238;0,999762;976016,62;232,35;66,11
11;0,000235;0,999765;975784,28;229,63;65,13
12;0,000249;0,999751;975554,65;242,88;64,14
13;0,000275;0,999725;975311,77;268,58;63,16
14;0,000311;0,999689;975043,18;303,22;62,18
15;0,000352;0,999648;974739,96;343,28;61,19
16;0,000406;0,999594;974396,67;395,39;60,22
17;0,000474;0,999526;974001,29;461,84;59,24
18;0,000547;0,999453;973539,44;532,67;58,27
19;0,000614;0,999386;973006,78;597,91;57,30
20;0,000666;0,999334;972408,87;647,62;56,33
21;0,000686;0,999314;971761,25;666,63;55,37
22;0,000706;0,999294;971094,62;685,59;54,41
23;0,000721;0,999279;970409,02;699,66;53,45
24;0,000734;0,999266;969709,36;711,77;52,49
25;0,000754;0,999246;968997,59;730,62;51,52
26;0,000771;0,999229;968266,97;746,53;50,56
27;0,000776;0,999224;967520,43;750,80;49,60
28;0,000774;0,999226;966769,64;748,28;48,64
29;0,000778;0,999222;966021,36;751,56;47,68
30;0,000800;0,999200;965269,79;772,22;46,71
31;0,000837;0,999163;964497,58;807,28;45,75
32;0,000886;0,999114;963690,29;853,83;44,79
33;0,000950;0,999050;962836,46;914,69;43,83
34;0,001018;0,998982;961921,77;979,24;42,87
35;0,001080;0,998920;960942,53;1037,82;41,91
36;0,001140;0,998860;959904,72;1094,29;40,96
37;0,001207;0,998793;958810,42;1157,28;40,00
38;0,001294;0,998706;957653,14;1239,20;39,05
39;0,001409;0,998591;956413,94;1347,59;38,10
40;0,001556;0,998444;955066,35;1486,08;37,15
41;0,001740;0,998260;953580,27;1659,23;36,21
42;0,001957;0,998043;951921,04;1862,91;35,27
43;0,002202;0,997798;950058,13;2092,03;34,34
44;0,002471;0,997529;947966,10;2342,42;33,42
45;0,002778;0,997222;945623,68;2626,94;32,50
46;0,003102;0,996898;942996,73;2925,18;31,59
